author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix,pre_commit_id,commit_id,fix_commit_id
1143467626,0,2,79,976,8.937692,264772,0,0.0,1,0.0,0,487.5,0.0,974,0,0.0,,a84fabcbc6fee8a69253ad92a304b4718e96a7c9,a84fabcbc6fee8a69253ad92a304b4718e96a7c9
1143489078,0,1,1,1,0.0,2,1,190.0,1,0.248287,1,976.0,5.027596,975,0,0.0,a84fabcbc6fee8a69253ad92a304b4718e96a7c9,fb19455f8b58952ad06ed92e3352f1631f812548,fb19455f8b58952ad06ed92e3352f1631f812548
1143528058,0,1,2,18,3.81662,9872,0,0.0,1,0.0,0,8.5,0.0,17,0,0.0,fb19455f8b58952ad06ed92e3352f1631f812548,6731a27a555f74e302286f62705f1fe514155e03,6731a27a555f74e302286f62705f1fe514155e03
1143528343,0,1,1,2,0.950956,27,0,0.0,1,0.0,0,18.5,0.0,1,0,0.0,6731a27a555f74e302286f62705f1fe514155e03,b5708bd64206dc31a6b44bcd2cdedf14f8a04e32,b5708bd64206dc31a6b44bcd2cdedf14f8a04e32
1143528575,0,1,1,1,0.0,1025,0,0.0,1,0.0,0,20.0,0.0,18,0,0.0,b5708bd64206dc31a6b44bcd2cdedf14f8a04e32,b0d89af95649ac5c469d5c8f73374693b78ad268,b0d89af95649ac5c469d5c8f73374693b78ad268
1143562674,0,1,1,1,0.0,137,1,29.0,1,1.100093,1,977.0,1.909014,1,0,0.0,b0d89af95649ac5c469d5c8f73374693b78ad268,6d48eebb39ff3e577af77cb67459d9d3ee27738c,6d48eebb39ff3e577af77cb67459d9d3ee27738c
1143564801,1,1,1,1,0.0,21,2,165.0,1,0.024618,2,21.0,41.620592,2,0,0.0,6d48eebb39ff3e577af77cb67459d9d3ee27738c,f65f474b1ac2465af2424155750bf7fd944cb106,f65f474b1ac2465af2424155750bf7fd944cb106
1143564900,1,3,4,6,0.313323,1140,0,0.0,1,0.0,0,24.5,0.0,1,0,0.0,f65f474b1ac2465af2424155750bf7fd944cb106,205db71fa2d906b0c3ab315c7baf7444d8256876,205db71fa2d906b0c3ab315c7baf7444d8256876
1143640684,0,2,2,6,1.868394,657,24,30.666667,1,0.146379,3,980.5,0.712865,6,0,0.0,205db71fa2d906b0c3ab315c7baf7444d8256876,9dd26271184af6eb2ebe85852e25d7e14aac746e,9dd26271184af6eb2ebe85852e25d7e14aac746e
1143640801,0,1,1,2,0.789271,0,93,48.5,1,0.001354,2,984.5,554.846154,8,0,0.0,9dd26271184af6eb2ebe85852e25d7e14aac746e,ffda5ac7a61f60099b0d2917e2f3e76a37b74752,ffda5ac7a61f60099b0d2917e2f3e76a37b74752
1143643192,1,3,3,3,0.510659,17,98,178.333333,1,0.69669,6,987.0,12.804468,1,0,0.0,ffda5ac7a61f60099b0d2917e2f3e76a37b74752,d3db3d941f5b2dab145d20bd2d7cd8eba33e07af,d3db3d941f5b2dab145d20bd2d7cd8eba33e07af
1143680122,0,3,18,76,4.449497,7724,259,430.052632,1,1.473504,53,1026.5,1.068155,2,1,56.1334,d3db3d941f5b2dab145d20bd2d7cd8eba33e07af,550f6379d2e184ba218895d6d8c6760c61805214,400e51ac3a86812f80e6a4df5fce62cb8f9e7177
1143712857,0,1,1,1,0.0,4,1,1083.0,1,0.378877,1,1065.0,3.639377,1050,0,0.0,550f6379d2e184ba218895d6d8c6760c61805214,e9ac952390cb23116502c6621f776f1304d2dbdd,e9ac952390cb23116502c6621f776f1304d2dbdd
1143725279,1,1,1,1,0.0,9,10,10.0,1,2.279352,1,1066.0,1.438721,12,0,0.0,e9ac952390cb23116502c6621f776f1304d2dbdd,c028cc5dde748073b6a01990b7c4ef02c6832682,c028cc5dde748073b6a01990b7c4ef02c6832682
1143725524,0,1,1,1,0.0,1,1,9.0,1,0.002836,2,1067.0,353.653061,13,0,0.0,c028cc5dde748073b6a01990b7c4ef02c6832682,28cdfe1049ed847fca1d4e3a04f5afe92f62646f,28cdfe1049ed847fca1d4e3a04f5afe92f62646f
1143731311,0,1,1,1,0.0,128,121,228.0,1,0.592465,1,1068.0,2.687863,1051,0,0.0,28cdfe1049ed847fca1d4e3a04f5afe92f62646f,d9c6580fca2a3554a66b5c2904d8f8513eac1a50,d9c6580fca2a3554a66b5c2904d8f8513eac1a50
1143731413,0,1,1,1,0.0,6,6,1086.0,1,0.214769,2,1069.0,5.656176,1052,0,0.0,d9c6580fca2a3554a66b5c2904d8f8513eac1a50,3d855ace74a03dca765fe04427ca9c1fb04c7a2c,3d855ace74a03dca765fe04427ca9c1fb04c7a2c
1143740479,1,1,1,1,0.0,5,1,2523.0,1,3.158021,1,1070.0,1.316654,1053,0,0.0,3d855ace74a03dca765fe04427ca9c1fb04c7a2c,5675009328b1418c9a418652f2979e010e36a759,5675009328b1418c9a418652f2979e010e36a759
