author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix,pre_commit_id,commit_id,fix_commit_id
1244107080,0,1,1,4,0.520248,78,84,840.5,14,24.940475,398,1714.5,1.019672,434,0,0.3427,c7883849aac273000bce1ae1cada3140a4571a83,16208fc63867d72765aa496c6963ab713727e9dc,66d0337a8f21e564df9270c70a7d922824e739d2
1244108359,0,1,1,1,0.0,10,3,1572.0,14,21.855845,26,11753.0,1.045754,6810,0,0.0,16208fc63867d72765aa496c6963ab713727e9dc,66d0337a8f21e564df9270c70a7d922824e739d2,66d0337a8f21e564df9270c70a7d922824e739d2
1244108359,0,1,1,1,0.0,10,3,1579.0,14,0.0,27,11753.0,0.0,6810,0,0.0,66d0337a8f21e564df9270c70a7d922824e739d2,99c6f8c308c1cd1a3a27448c7b27caba64c0c71c,99c6f8c308c1cd1a3a27448c7b27caba64c0c71c
1244125602,0,1,1,1,0.0,4,1,1406.0,14,0.214375,164,1717.0,5.664723,435,0,0.0,99c6f8c308c1cd1a3a27448c7b27caba64c0c71c,87c46531be8f2405ada085036f55444737b8a40e,87c46531be8f2405ada085036f55444737b8a40e
1244125602,0,1,1,1,0.0,4,1,1409.0,14,0.0,165,1717.0,0.0,435,0,0.0,87c46531be8f2405ada085036f55444737b8a40e,cb65d0efaa9faad8e7470345815aa3dd8bb4b64c,cb65d0efaa9faad8e7470345815aa3dd8bb4b64c
1244136688,1,1,1,1,0.0,7,7,202.0,14,0.342685,20,1718.0,3.91813,436,0,0.0,cb65d0efaa9faad8e7470345815aa3dd8bb4b64c,625b86063fa09885656f0d2cdae91acdc0a61923,625b86063fa09885656f0d2cdae91acdc0a61923
1244136688,1,1,1,1,0.0,7,7,202.0,14,0.0,21,1718.0,0.0,436,0,0.0,625b86063fa09885656f0d2cdae91acdc0a61923,facd03b8166603408f1edee7e831112e42270b69,facd03b8166603408f1edee7e831112e42270b69
1244186685,0,1,2,2,0.982859,16,10,332.0,14,410.302951,32,11754.5,1.004372,1180,0,0.0,facd03b8166603408f1edee7e831112e42270b69,3afd3dde0f19709c9f3f62ea8f46293aa26b94f7,3afd3dde0f19709c9f3f62ea8f46293aa26b94f7
1244186685,0,1,2,2,0.982859,16,10,335.0,14,0.0,34,11754.5,0.0,1180,0,0.0,3afd3dde0f19709c9f3f62ea8f46293aa26b94f7,8ad8cdc9f0d318ac837e42d971cb6fbf84e1b337,8ad8cdc9f0d318ac837e42d971cb6fbf84e1b337
1244187750,0,1,1,1,0.0,5,3,204.0,14,0.0,23,1719.0,0.0,437,0,0.0,8ad8cdc9f0d318ac837e42d971cb6fbf84e1b337,9a784b5b18cbca9d04c0bec6a9a1b0e9ea5c7e81,9a784b5b18cbca9d04c0bec6a9a1b0e9ea5c7e81
